SNO,NAME,GENDER,BIRTHDAY,DEPART
PB210000001,YH,male,2002/3/29 0:00,229
PB210000002,ZY,male,2001/9/12 0:00,11
PB210000003,FWJ,male,2001/4/29 0:00,12
PB210000004,JTY,male,2002/3/15 0:00,11
PB210000005,YY,female,2002/8/12 0:00,12
PB210000006,HCC,male,2002/6/25 0:00,229
PB210000007,RZJ,male,2002/6/14 0:00,11
PB210000008,WCS,male,2002/8/23 0:00,13
PB210000009,ZMS,female,2002/6/23 0:00,12
PB210000010,WD,male,2003/2/24 0:00,13
PB210000011,BL,female,2002/5/8 0:00,14
PB210000012,ADN,male,2004/6/26 0:00,10
PB210000013,HD,male,2003/11/17 0:00,14
PB210000014,GNJ,male,2001/1/28 0:00,11
PB210000015,XB,female,2002/10/9 0:00,12
PB210000016,LC,female,2003/11/30 0:00,11
PB210000017,TX,male,2002/5/16 0:00,12
PB210000018,MY,male,2003/12/2 0:00,14
PB210000019,MT,female,2002/2/13 0:00,10
PB210000020,XY,female,2001/2/14 0:00,229
PB210000021,LYH,male,2002/9/30 0:00,229
PB210000022,MSW,male,2003/6/17 0:00,11
PB210000023,HXY,male,2003/2/18 0:00,12
PB210000024,YHS,female,2003/4/1 0:00,229
PB210000025,YWB,male,2003/8/12 0:00,229
